Team,Matches Played,Runs For,Runs Against,NRR For,NRR Against,Extras,% Total Runs Given in Extras,NRR Total
Afghanistan,9,2245.0,2291.0,0.96,0.96,110.0,4.9,0.0
England,10,2864.0,2676.0,1.06,0.97,152.0,5.31,0.09000000000000008
Sri Lanka,9,2328.0,2607.0,0.98,1.02,108.0,4.64,-0.040000000000000036
South Africa,9,1862.0,2549.0,0.78,0.99,134.0,7.2,-0.20999999999999996
Netherlands,9,2095.0,2176.0,0.85,0.88,105.0,5.01,-0.030000000000000027
Pakistan,9,2053.0,2431.0,0.82,1.0,109.0,5.31,-0.18000000000000005
New Zealand,10,2897.0,2373.0,1.01,0.89,124.0,4.28,0.12
Bangladesh,9,2048.0,2459.0,0.88,1.05,106.0,5.18,-0.17000000000000004
India,11,3087.0,2801.0,0.99,0.91,142.0,4.6,0.07999999999999996
Australia,11,3160.0,2276.0,1.03,0.8,122.0,3.86,0.22999999999999998
