Team,Matches Played,Toss Won,Toss Lost,Matches Won after Winning Toss,Matches Won after Losing Toss,% Matches Chose to Bat First,% Matches Chose to Ball First
Australia,11,5,6,5,5,27.27272727272727,18.181818181818183
Sri Lanka,9,4,5,0,3,22.22222222222222,22.22222222222222
Bangladesh,9,4,5,0,2,22.22222222222222,22.22222222222222
Afghanistan,9,7,2,2,1,33.33333333333333,44.44444444444444
Netherlands,9,5,4,1,3,33.33333333333333,22.22222222222222
South Africa,9,5,4,1,1,33.33333333333333,22.22222222222222
India,11,5,6,3,6,18.181818181818183,27.27272727272727
Pakistan,9,5,4,2,0,22.22222222222222,33.33333333333333
New Zealand,10,3,7,1,6,20.0,10.0
England,10,5,5,3,3,0.0,50.0
